post_code,kanji_state,kanji_city,kanji_district,kanji_chome,part
0640959,北海道,札幌市,中央区,宮ケ丘,5
0640958,北海道,札幌市,中央区,宮の森,5
0640954,北海道,札幌市,中央区,宮の森4条,5
0640953,北海道,札幌市,中央区,宮の森3条,5
0640952,北海道,札幌市,中央区,宮の森2条,5
0640951,北海道,札幌市,中央区,宮の森1条,5
0640946,北海道,札幌市,中央区,双子山,3
0640945,北海道,札幌市,中央区,盤渓,5
0640944,北海道,札幌市,中央区,円山西町,5
0640943,北海道,札幌市,中央区,界川,3
0640942,北海道,札幌市,中央区,伏見,3
0640941,北海道,札幌市,中央区,旭ケ丘,3
0640931,北海道,札幌市,中央区,中島公園,6
0640930,北海道,札幌市,中央区,南30条西（９〜１１丁目）,2
0640929,北海道,札幌市,中央区,南29条西,2
0640928,北海道,札幌市,中央区,南28条西,2
0640927,北海道,札幌市,中央区,南27条西,2
0640926,北海道,札幌市,中央区,南26条西,2
0640925,北海道,札幌市,中央区,南25条西,2
0640924,北海道,札幌市,中央区,南24条西,2
0640923,北海道,札幌市,中央区,南23条西,2
0640922,北海道,札幌市,中央区,南22条西,2
0640921,北海道,札幌市,中央区,南21条西,2
0640920,北海道,札幌市,中央区,南21条西,2
0640919,北海道,札幌市,中央区,南19条西,2
0640918,北海道,札幌市,中央区,南18条西,2
0640917,北海道,札幌市,中央区,南17条西,2
0640916,北海道,札幌市,中央区,南16条西,2
0640915,北海道,札幌市,中央区,南15条西,2
0640914,北海道,札幌市,中央区,南14条西,2
0640913,北海道,札幌市,中央区,南13条西,1
0640912,北海道,札幌市,中央区,南12条西,1
0640826,北海道,札幌市,中央区,北6条西（２６〜２８丁目）,4
0640825,北海道,札幌市,中央区,北5条西（２５〜２９丁目）,4
0640824,北海道,札幌市,中央区,北4条西（２０〜３０丁目）,4
0640823,北海道,札幌市,中央区,北3条西（２０〜３０丁目）,4
0640822,北海道,札幌市,中央区,北2条西（２０〜２８丁目）,4
0640821,北海道,札幌市,中央区,北1条西（２０〜２８丁目）,4
0640820,北海道,札幌市,中央区,大通西（２０〜２８丁目）,5
0640811,北海道,札幌市,中央区,南11条西,2
